p_mut	p_inf	n_inf_n_mean
0.00015848931924611142	0.002	1000.0
0.00015848931924611142	0.0025	1500.0
0.00015848931924611142	0.003	1833.3333333333333
0.00015848931924611142	0.0035	2000.0
0.00015848931924611142	0.004	2500.0
0.00015848931924611142	0.0045	3333.3333333333335
0.00015848931924611142	0.005	3166.6666666666665
0.00015848931924611142	0.0055	4166.666666666667
0.00015848931924611142	0.006	3833.3333333333335
0.00015848931924611142	0.0065	4333.333333333333
0.00015848931924611142	0.007	4666.666666666667
0.00015848931924611142	0.0075	5000.0
0.00015848931924611142	0.008	5000.0
0.00015848931924611142	0.0085	5000.0
0.00015848931924611142	0.009	5000.0
0.00015848931924611142	0.0095	5000.0
0.00015848931924611142	0.01	5000.0
0.0002511886431509582	0.0	0.0
0.0002511886431509582	0.0005	0.0
0.0002511886431509582	0.001	833.3333333333334
0.0002511886431509582	0.0015	1000.0
0.0002511886431509582	0.002	1333.3333333333333
0.0002511886431509582	0.0025	2166.6666666666665
0.0002511886431509582	0.003	3000.0
0.0002511886431509582	0.0035	3333.3333333333335
0.0002511886431509582	0.004	4166.666666666667
0.0002511886431509582	0.0045	4333.333333333333
0.0002511886431509582	0.005	3833.3333333333335
0.0002511886431509582	0.0055	4333.333333333333
0.0002511886431509582	0.006	4833.333333333333
0.0002511886431509582	0.0065	5000.0
0.0002511886431509582	0.007	5000.0
0.0002511886431509582	0.0075	5000.0
0.0002511886431509582	0.008	4833.333333333333
0.0002511886431509582	0.0085	4666.666666666667
0.0002511886431509582	0.009	5000.0
0.0002511886431509582	0.0095	5000.0
0.0002511886431509582	0.01	5000.0
0.0003981071705534969	0.0	0.0
0.0003981071705534969	0.0005	166.66666666666666
0.0003981071705534969	0.001	833.3333333333334
0.0003981071705534969	0.0015	1500.0
0.0003981071705534969	0.002	1833.3333333333333
0.0003981071705534969	0.0025	2166.6666666666665
0.0003981071705534969	0.003	3166.6666666666665
0.0003981071705534969	0.0035	3666.6666666666665
0.0003981071705534969	0.004	3666.6666666666665
0.0003981071705534969	0.0045	4166.666666666667
0.0003981071705534969	0.005	4333.333333333333
0.0003981071705534969	0.0055	4666.666666666667
0.0003981071705534969	0.006	4833.333333333333
0.0003981071705534969	0.0065	4833.333333333333
0.0003981071705534969	0.007	4833.333333333333
0.0003981071705534969	0.0075	5000.0
0.0003981071705534969	0.008	5000.0
0.0003981071705534969	0.0085	5000.0
0.0003981071705534969	0.009	5000.0
0.0003981071705534969	0.0095	5000.0
0.0003981071705534969	0.01	5000.0
0.000630957344480193	0.0	0.0
0.000630957344480193	0.0005	166.66666666666666
0.000630957344480193	0.001	666.6666666666666
0.000630957344480193	0.0015	2000.0
0.000630957344480193	0.002	1666.6666666666667
0.000630957344480193	0.0025	2666.6666666666665
0.000630957344480193	0.003	3166.6666666666665
0.000630957344480193	0.0035	4333.333333333333
0.000630957344480193	0.004	4666.666666666667
0.000630957344480193	0.0045	4666.666666666667
0.000630957344480193	0.005	5000.0
0.000630957344480193	0.0055	5000.0
0.000630957344480193	0.006	5000.0
0.000630957344480193	0.0065	5000.0
0.000630957344480193	0.007	5000.0
0.000630957344480193	0.0075	5000.0
0.000630957344480193	0.008	5000.0
0.000630957344480193	0.0085	5000.0
0.000630957344480193	0.009	5000.0
0.000630957344480193	0.0095	5000.0
0.000630957344480193	0.01	5000.0
0.001	0.0	0.0
0.001	0.0005	0.0
0.001	0.001	1333.3333333333333
0.001	0.0015	2333.3333333333335
0.001	0.002	3000.0
