p_mut	p_inf	seed	n_inf_n	n_rec_n	ief_mean	ief_var	ief_max	ief_min	r0_mean	r0_var	r0_bins
0.0001	0.003	16	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.003	17	0	13	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.003	18	0	15	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.003	19	0	11	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.003	20	0	12	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.003	21	0	11	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.003	22	0	19	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.003	23	0	14	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.003	24	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.003	25	0	11	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.003	26	0	15	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.003	27	0	9	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.003	28	0	12	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.003	29	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.003	30	0	12	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.004	1	0	14	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.004	2	0	14	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.004	3	0	18	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.004	4	0	16	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.004	5	0	17	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.004	6	0	11	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.004	7	0	13	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.004	8	0	11	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.004	9	0	12	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.004	10	0	13	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.004	11	0	14	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.004	12	0	14	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.004	13	0	17	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.004	14	0	12	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.004	15	0	15	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.004	16	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.004	17	0	18	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.004	18	0	15	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.004	19	0	11	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.004	20	0	12	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.004	21	0	11	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.004	22	0	19	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.004	23	0	18	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.004	24	0	11	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.004	25	0	14	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.004	26	0	12	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.004	27	0	9	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.004	28	0	15	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.004	29	0	11	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.004	30	0	12	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.0005	1	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.0005	2	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.0005	3	0	12	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.0005	4	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.0005	5	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.0005	6	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.0005	7	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.0005	8	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.0005	9	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.0005	10	0	12	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.0005	11	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.0005	12	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.0005	13	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.0005	14	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.0005	15	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.0005	16	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.0005	17	0	12	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.0005	18	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.0005	19	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.0005	20	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.0005	21	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.0005	22	0	12	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.0005	23	0	12	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.0005	24	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.0005	25	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.0005	26	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.0005	27	0	9	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.0005	28	0	11	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.0005	29	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.0005	30	0	10	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.005	1	0	18	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.005	2	0	15	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.005	3	0	18	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.005	4	0	17	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.005	5	0	19	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.005	6	0	16	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.005	7	0	13	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.005	8	0	15	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.005	9	0	12	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.005	10	0	13	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.005	11	0	14	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.005	12	0	22	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.005	13	0	23	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.005	14	0	14	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.005	15	0	15	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.005	16	0	12	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.005	17	0	15	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.005	18	0	17	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
0.0001	0.005	19	0	13	NaN	NaN	-Inf	Inf	NaN	NaN	Int64[]
